,rentals,MoM,YoY
2009-05,2248.1776882952,-0.013353072768505725,-0.11466357738688915
2009-06,2236.3712307721,-0.005251567785130473,-0.12142379723294705
2009-07,2250.748955942,0.006429042268146334,-0.11765002855846884
2009-08,2227.7353372892,-0.010224871410933756,-0.11909829585688125
2009-09,2231.9948292856,0.0019120278450954764,-0.1096201376387208
2009-10,2220.8576755528,-0.004989775776660155,-0.10147817741144693
2009-11,2206.8872007875,-0.006290576347636745,-0.09659284105988475
2009-12,2190.1398112356,-0.007588693045083583,-0.08386916918443865
2010-01,2202.9037044403,0.005827889680475984,-0.06123180662479455
2010-02,2219.2022732252,0.007398675099618668,-0.034504470345703364
2010-03,2224.8007711488,0.0025227524282693814,-0.024397099186663107
2010-04,2233.5738336859,0.003943302542352978,-0.019762196189229475
2010-05,2253.6309877877,0.008979848259012435,0.002425653239462422
2010-06,2275.5310204646,0.00971766575609534,0.017510415602592255
2010-07,2293.7287897309,0.007997152797585283,0.019095791947579377
2010-08,2298.8573517272,0.002235906014372846,0.03192570196625977
2010-09,2310.3632844019,0.005005065958553434,0.035111396356318325
2010-10,2315.5636024421,0.0022508659461952796,0.04264385238722079
2010-11,2317.2951242874,0.0007477755495353122,0.05002880231508988
2010-12,2324.4711462675,0.0030967233758396606,0.06133459350072945
2011-01,2330.8600382237,0.0027485357116430187,0.05808530510229937
2011-02,2353.2452212096,0.009603829753312532,0.060401410723860405
2011-03,2360.8089578168,0.003214172725829245,0.06113274879789388
2011-04,2377.7340648494,0.007169198073634808,0.064542406876966
2011-05,2396.197292565,0.007765051604612383,0.06326071373257602
2011-06,2412.5563177962,0.006827077754389732,0.060216844375790224
2011-07,2434.2843093769,0.009006211138129272,0.06127817738316388
2011-08,2443.9541791887,0.003972366651894932,0.0631169338769475
2011-09,2456.4712632063,0.005121652494219475,0.06324026173322106
2011-10,2468.8885308078,0.0050549207668288965,0.06621495008990319
2011-11,2474.4580309908,0.0022558734886171106,0.06782170516659147
2011-12,2472.9019896491,-0.0006288412744172023,0.06385574784180115
2012-01,2491.4901529012,0.007516740788719112,0.0689145259875461
2012-02,2499.6643182711,0.00328083390591849,0.062220076234230426
2012-03,2514.491024278,0.005931478838388626,0.06509720574904976
2012-04,2521.2217446066,0.0026767724615492927,0.06034639528381747
2012-05,2545.8293357222,0.009760185183330439,0.062445627336898735
2012-06,2557.1002477695,0.004427206446697252,0.059913183749151555
2012-07,2571.8747357359,0.005777828999581569,0.05652192138321688
2012-08,2587.6655175846,0.006139794302299828,0.05880279573965108
2012-09,2591.2593849608,0.0013888454098018865,0.05487062835759304
2012-10,2590.5036354114,-0.00029165337665015834,0.04925905041318668
2012-11,2596.9001782167,0.0024692274960982363,0.04948241016513544
2012-12,2599.4979569815,0.0010003383212764394,0.051193281360238485
2013-01,2604.8133912855,0.0020447926453353027,0.04548412051813311
2013-02,2607.2055967845,0.0009183788393452019,0.04302228812378339
2013-03,2617.8277954652,0.0040741699441733115,0.04109649634437296
2013-04,2627.2275915266,0.00359068540630636,0.0420454278354403
2013-05,2641.3164344615,0.005362627501454442,0.03750726625679812
2013-06,2652.3403856747,0.004173657903827621,0.03724536728205141
2013-07,2671.7035321908,0.007300400288243747,0.03881557490642562
2013-08,2676.0599804503,0.0016305882022498164,0.0341599261052139
2013-09,2687.5519352872,0.004294356225515772,0.037160521592421336
2013-10,2690.2291176475,0.0009961416280552804,0.038496561391724304
2013-11,2684.7221514804,-0.0020470249656340256,0.033818001169381606
2013-12,2663.5021493213,-0.007903984457907187,0.024621751353142374
2014-01,2663.7313796802,8.606351564566239e-05,0.022618890317368745
2014-02,2665.2356524865,0.0005647239123940384,0.02225756793924094
2014-03,2670.6412695884,0.002028194804034378,0.020174540974271737
2014-04,2690.7250936625,0.0075202253117263584,0.024169014645207598
2014-05,2719.5769404917,0.010722703295537261,0.02962935641073816
2014-06,2725.9478008767,0.0023425924415465538,0.027751873628118817
2014-07,2738.1839883261,0.004488782743919284,0.024883171105734903
2014-08,2753.6989383734,0.00566614592498027,0.029012413208330035
2014-09,2756.1477688874,0.0008892876704404973,0.025523537870857815
2014-10,2760.4505920765,0.0015611728941649083,0.026102414091185633
2014-11,2758.6501441614,-0.0006522297194044846,0.027536552577790863
2014-12,2756.0234309011,-0.0009521733902574381,0.03473670242893401
2015-01,2755.892926192,-4.73525397631791e-05,0.03459866381979726
2015-02,2768.8419737779,0.004698675867568225,0.03887323103859197
2015-03,2780.1568158627,0.004086488933625176,0.04100720958722337
2015-04,2797.5807870887,0.0062672620215464825,0.03971260151320499
2015-05,2817.5193273537,0.007127065054571391,0.03601383193236374
2015-06,2837.4700565338,0.007080955571949099,0.04091136874346346
2015-07,2849.5455060321,0.004255709930927498,0.04066984475140312
2015-08,2867.6233303408,0.006344107953507372,0.041371404251873134
