,Manhattan_All,Manhattan_Q1,Manhattan_Q2,Manhattan_Q3,Manhattan_Q4,Manhattan_Q5,Manhattan_All_MoM,Manhattan_Q1_MoM,Manhattan_Q2_MoM,Manhattan_Q3_MoM,Manhattan_Q4_MoM,Manhattan_Q5_MoM,Manhattan_All_YoY,Manhattan_Q1_YoY,Manhattan_Q2_YoY,Manhattan_Q3_YoY,Manhattan_Q4_YoY,Manhattan_Q5_YoY
2009-11,2392.480755481,1455.707549342,1945.3587411294,2428.4126201632,3125.3128058768,5057.518679757,-0.006412190651296279,-0.00816403237470853,-0.008960318730018124,-0.013239852808527353,-0.0029111133174025694,0.0024757894838511874,-0.07160657437156182,-0.08645937537139226,-0.0848756814467867,-0.07669180301904921,-0.05658068984982312,-0.05642024396816603
2009-12,2387.2745215781,1453.2233066249,1933.2143126471,2420.4645215591,3127.4579576075,5059.0729062254,-0.002176081830950083,-0.0017065534339111288,-0.006242770665141784,-0.0032729605084846902,0.000686379848655827,0.00030731007966822155,-0.056952870574086156,-0.07596686913565587,-0.07127122974039135,-0.062265499802637625,-0.036716596919929456,-0.038269539499032224
2010-01,2400.6746370485,1461.8525915394,1940.177954997,2431.5543885474,3141.0341583563,5090.8837720351,0.005613143921773034,0.005938030910432879,0.0036021057284458813,0.004581710200468603,0.004340969865246791,0.00628788444035977,-0.03558283905532811,-0.04887162792045585,-0.05462799055355472,-0.04156014965366961,-0.02170012872912208,-0.017916878564691263
2010-02,2412.6232359472,1471.5480969061,1954.6142331373,2432.2197848446,3147.7142597144,5101.4570911142,0.004977183794214746,0.0066323413337388,0.007440697954081532,0.0002736505917095844,0.0021267203797605827,0.0020769122911783455,-0.01814194253367163,-0.033492349760257056,-0.030227254018236893,-0.029543751696233134,-0.008889179487294618,0.0010425499787873882
2010-03,2416.5341943049,1469.2578539803,1958.7536034096,2436.6371134622,3152.6477768898,5141.5588707759,0.0016210398289415728,-0.0015563493511460136,0.002117742827266733,0.0018161716490938673,0.0015673332355927716,0.007860848174445989,-0.007287847327490216,-0.021498262339608942,-0.019122880840775403,-0.021191240254907595,0.0008196466357217602,0.01913358770785334
2010-04,2430.422249018,1477.626167254,1961.8131090908,2460.0849518631,3173.7121736372,5186.0386627751,0.005747096294283827,0.005695605608661225,0.0015619655662020282,0.009623032609719528,0.006681493854724607,0.008651032326405739,0.008897808057480416,-0.007895198165883355,-0.003623321740709895,-0.0011630053693876263,0.016566249486729134,0.03373686123188113
2010-05,2445.1192248757,1493.3101792061,1970.0114476984,2479.4371137911,3187.133596617,5210.6756807623,0.006047087440727017,0.010614330132801442,0.004178960049563196,0.00786646083638054,0.004228935154008795,0.004750642945267947,0.020468367451428104,0.008044369613944058,0.0022787174796359277,0.020360273231936565,0.020752942167640454,0.04803215222845281
2010-06,2461.4347012956,1503.7583726415,1989.4844794319,2493.9923290536,3201.151255429,5250.7194260467,0.006672671113094442,0.0069966665873493206,0.009884730241669804,0.005870370811802861,0.0043982024559243715,0.007684942939788275,0.026499342814379823,0.015868469960154563,0.012797519451093642,0.022501904922763716,0.026951196151416612,0.05628131388044477
2010-07,2484.0511502249,1521.3340082893,2011.2851938852,2508.1450929621,3235.4639514863,5265.4307911281,0.009188319689080293,0.01168780567913097,0.010957971614599105,0.005674742357315354,0.010718861221914455,0.0028017808394831256,0.02945651034666441,0.02094800735537561,0.014848447163989142,0.024122928572415603,0.035550487184309976,0.05594208617352847
2010-08,2502.0568886003,1528.9203159493,2033.0948426478,2525.7863393025,3257.9789177044,5283.57249225,0.007248537685614842,0.004986615443199449,0.01084363810209843,0.00703358286165412,0.006958806080270774,0.0034454353008432914,0.03785790690413404,0.028576153651835412,0.031062571330962685,0.032984038975701235,0.03995631109990527,0.054805887045726864
2010-09,2517.2537222986,1542.0869043709,2049.4147715256,2544.4409007973,3276.157328911,5308.5068136212,0.0060737362797540495,0.008611690409401573,0.00802713603687355,0.007385645097736759,0.005579658943713817,0.004719216289314376,0.04253654871781065,0.043222861750631836,0.04028477805462671,0.03561652323193054,0.03883204233707316,0.054852641845951844
2010-10,2526.8060056622,1550.5018351007,2057.7902381452,2556.5446884775,3272.148299207,5332.8851890826,0.003794724099117408,0.005456845983160097,0.004086760150247892,0.004756953748231041,-0.0012236987731394366,0.004592322533870874,0.04937255527069229,0.05642337886962223,0.0483165591082344,0.03882527712036832,0.043934769851410094,0.05705754712292643
2010-11,2530.8017555614,1551.8789639706,2065.7523661456,2558.9156196625,3270.2214067083,5342.2750038354,0.0015813441515677429,0.0008881826765529954,0.0038692612360609058,0.0009273967303156105,-0.0005888768853070658,0.001760738215782709,0.05781488514108912,0.06606506552230962,0.06188762127560277,0.05374004335825333,0.046366111116626696,0.05630356348818877
2010-12,2534.4386314519,1558.728457334,2069.0092856227,2551.8341642605,3272.259922339,5363.6589608861,0.0014370449532477014,0.0044136775627625635,0.0015766262841936385,-0.002767365733979843,0.0006233570688878309,0.004002781031554603,0.06164523960005974,0.07260078353280397,0.0702431034610227,0.054274558264039596,0.04630021144785368,0.06020590339504572
2011-01,2548.7220312328,1571.4193138394,2066.7212171402,2570.1673472881,3296.7975932147,5396.0739656474,0.005635725246468937,0.008141800738729055,-0.001105876372039294,0.007184316004685387,0.007498692481054725,0.0060434500026347315,0.06166907914115205,0.07495059552114003,0.06522250282108577,0.057005905108915345,0.049589857036101526,0.05994837188952329
2011-02,2560.8119561336,1576.6696331669,2078.6522617502,2586.9863851545,3315.1876367459,5426.7175223975,0.00474352430459124,0.003341131982571799,0.005772933722773432,0.006543946597153294,0.00557815365100045,0.005678861510272748,0.06142223865643093,0.07143601794723242,0.06345908390005417,0.0636318318246838,0.05320475850520645,0.06375833913213613
2011-03,2575.7760147485,1583.5055925272,2094.7645867234,2594.9435354757,3333.6688956387,5457.9679083279,0.005843482017122925,0.004335695453567601,0.007751332567590419,0.0030758377264226144,0.0055747248475326305,0.005758616659411686,0.06589677928782822,0.07775880743968555,0.06943751530414333,0.0649692238285593,0.0574187576791354,0.06153951466945884
2011-04,2597.3262113076,1595.0431285494,2108.8926101849,2616.1710995147,3363.8489824995,5508.1197183869,0.008366487006520318,0.007286072165862523,0.006744444483663514,0.008180356816553491,0.00905311469302883,0.009188733041555208,0.06867282520847406,0.07946323900963814,0.07497120924136547,0.06344746246807098,0.05990990942458252,0.06210540964988698
2011-05,2611.8625662987,1604.391085436,2124.786088714,2637.3779874414,3371.5102200168,5519.749075539,0.005596661261806579,0.005860629546174945,0.007536409607745043,0.008106078356508784,0.0022775212434200665,0.0021113116175162094,0.06819436031037562,0.07438568877160856,0.0785653510777442,0.06370029422073387,0.05785029645305961,0.059315415833265606
2011-06,2631.7019779872,1613.5855929918,2143.4982805067,2662.6216072334,3391.9745018576,5562.7047133768,0.00759588653112564,0.005730839344137539,0.00880662382537789,0.009571483462819774,0.006069767108906499,0.007782172205646143,0.06917399701969673,0.07303515135704797,0.077413924394514,0.0676141928005809,0.05961081848443528,0.05941762680795071
2011-07,2655.4316791158,1628.0832727837,2165.0719813576,2689.9005754554,3429.2970837615,5574.7818060601,0.0090168648756912,0.008984760309503903,0.01006471572526757,0.010245153929455464,0.011003202377688925,0.0021710828285128603,0.06899235101313561,0.07016819706438882,0.07646194977219034,0.07246609576268503,0.05990891420260058,0.058751321060612094
2011-08,2670.1952191927,1639.8299663886,2183.2894860853,2693.6737496016,3444.7306951658,5599.5743170011,0.005559751430628479,0.007215044710099816,0.008414272081742169,0.0014027188144531966,0.004500517460963582,0.004447261220887455,0.0672000430359756,0.07254115815083328,0.0738748829060496,0.06646936349551336,0.0573213584798109,0.05980836360523378
2011-09,2685.7788154546,1651.9350757949,2195.0839324754,2717.2670885502,3462.7388326059,5608.9518861973,0.0058361261940285125,0.00738192962344697,0.005402145004256065,0.008758796031661076,0.005227734483096658,0.0016746932293993932,0.06694799640701832,0.07123345066522901,0.07107841856793251,0.06792305048183467,0.05695132588669649,0.05659690815601515
2011-10,2697.1150347566,1662.4885048972,2210.5193400414,2734.4851028857,3473.9697750781,5608.5461796579,0.004220831304785344,0.006388525346386231,0.007031807457400285,0.006336518926701062,0.003243369776099625,-7.233196997080693e-05,0.06740091194684616,0.0722260801382586,0.07421995646838297,0.06960191824934192,0.06167858465339471,0.05169077915639919
2011-11,2693.6944809194,1661.6273642928,2210.3420472024,2730.7209645213,3454.7878687595,5623.1381522468,-0.0012682268991572876,-0.0005179828924311014,-8.020415645704215e-05,-0.0013765437450830031,-0.005521610019813439,0.002601738868055481,0.0643640794858964,0.07071969069121242,0.06999371436111868,0.06713990236280631,0.056438521768768624,0.05257369720011784
2011-12,2694.0077419794,1665.3193876549,2207.1117019472,2716.9145765456,3461.7195014187,5633.5477578372,0.00011629420567893511,0.002221932210217048,-0.001461468490493889,-0.005055949749197652,0.0020063844503683814,0.0018512092907125854,0.06296033707317972,0.06838325804560585,0.06674808918652864,0.06469088571550619,0.057898694961944,0.0503180382867805
2012-01,2702.0523906715,1673.0231998575,2217.1908379239,2721.1104688131,3456.5009813987,5640.8971425939,0.002986126790485377,0.004626026850890419,0.004566663285690442,0.0015443592903958692,-0.001507493607688759,0.0013045748563107473,0.06015970261163983,0.06465739928437952,0.07280595928265066,0.05872890793833596,0.048441975483327626,0.04537061176423807
2012-02,2711.6605911665,1682.0812204199,2229.0340205298,2726.1612474895,3473.6402293039,5651.3863330129,0.0035558897851764026,0.005414163152771323,0.005341526044275735,0.0018561461338257867,0.00495855432920056,0.001859489750273502,0.05890656464313637,0.06685711770909819,0.07234579902892468,0.053798065244432314,0.04779596509159667,0.041400498494371885
2012-03,2728.5969531067,1695.7416455005,2234.1673725005,2748.3115722717,3498.8683933811,5683.8408497196,0.006245752877543698,0.0081211447549423,0.0023029491355541776,0.008125097076556953,0.007262745250464553,0.005742753157241154,0.059330057226703925,0.0708782169781772,0.06654818716176192,0.05910264893986783,0.04955486069973025,0.04138407282444034
2012-04,2743.2728302095,1700.9694227797,2242.4070814469,2760.0409646801,3525.7971494803,5726.9468191134,0.005378543388788515,0.003082885469653629,0.003688044614660324,0.0042678539532199355,0.007696418690723572,0.007583950806069328,0.05619110078145506,0.06640967402971332,0.06331022766033301,0.05499252904066099,0.04814370913300192,0.039728094506737754
2012-05,2764.6388343463,1712.0577399701,2258.6509047485,2780.1410475102,3548.0620045664,5773.2612550663,0.007788508638846503,0.006518822173934069,0.007243922584796225,0.007282530617233052,0.006314842897125139,0.008087107740956778,0.05849322625887665,0.06710748738973527,0.06300154954210946,0.054130678555977196,0.05236578655505908,0.04592820725325164
2012-06,2773.7774665791,1717.6142873696,2270.4059624084,2794.8800988003,3557.8404426449,5791.9384538793,0.0033055428865669256,0.003245537384502617,0.005204459722034205,0.00530154802875904,0.0027559941359296403,0.003235121015285891,0.05398616172358661,0.06447051512459101,0.05920587063484839,0.049672282087548814,0.04889952465635106,0.041209043498436015
2012-07,2792.0596166439,1731.7559146902,2283.6243051503,2814.5382509991,3584.2632953304,5815.1108748329,0.006591065896626391,0.00823329627879188,0.00582201727830145,0.00703362988889511,0.007426654767535679,0.004000805798977325,0.05145225109824492,0.06367772683349315,0.05475675858054485,0.04633542097465759,0.045188914166317096,0.04311004038069233
