,sales,MoM,YoY
,Manhattan,,
,All Downtown,,
,All,,
2003-12,911797.8917710825,0.013029710845978926,0.04237116992462919
2004-01,929489.8813703018,0.01940341139071311,0.06433431490249664
2004-02,955751.412697526,0.02825370329853194,0.16121324251453828
2004-03,942854.2932823938,-0.013494219567754762,0.08505774294759405
2004-04,946144.9151837649,0.0034900640796948768,0.07083443692036528
2004-05,982638.3338275069,0.03857064394480636,0.10494294463068532
2004-06,1009733.3152451736,0.027573706912214835,0.13845157583755907
2004-07,1036610.6843742037,0.02661828497012997,0.19609219679528556
2004-08,1058826.9467364238,0.021431635518624814,0.2378129998689964
2004-09,1065488.8239964922,0.006291752661378824,0.2102374876580606
2004-10,1074264.7931073594,0.008236566084240948,0.21617228847503545
2004-11,1074305.3964220462,3.779637473666497e-05,0.19357951462661593
2004-12,1106253.4553414653,0.0297383397922244,0.21326608157940674
2005-01,1116382.2614591813,0.009155954332896954,0.20106983823573543
2005-02,1143313.950996501,0.024124075119321686,0.1962461533481763
2005-03,1172509.3483593569,0.0255357658650186,0.2435742794122051
2005-04,1175777.990879556,0.002787732588036773,0.24270391565882976
2005-05,1192938.937143441,0.014595396747516753,0.21401628256938166
2005-06,1226785.7093311783,0.028372594048095445,0.21496011947798532
2005-07,1257300.022859475,0.024873385218134425,0.2128951030622459
2005-08,1266182.7141917888,0.007064893955948337,0.19583537054330624
2005-09,1283905.2726937723,0.013996841295765172,0.20499177821315118
2005-10,1280430.65694274,-0.0027062866902494154,0.19191345109527091
2005-11,1278345.8874921207,-0.0016281783314975318,0.1899278284830621
2005-12,1291171.1832872943,0.01003272738674399,0.167156746090118
2006-01,1306146.7426551194,0.011598430604451426,0.16998163420108803
2006-02,1299221.5955675733,-0.0053019671231340215,0.13636468306468652
2006-03,1287352.7776029685,-0.009135329958412375,0.0979467066973132
2006-04,1303823.2634648224,0.012794073348349588,0.10890259349852305
2006-05,1313510.9818724096,0.0074302389588007944,0.10107143037654964
2006-06,1317575.6576820593,0.00309451223914059,0.07400636285564333
2006-07,1339830.6574884728,0.016890870498902144,0.06564116211602244
2006-08,1340033.9086558574,0.00015169914664125983,0.058325859006224334
2006-09,1367671.6363373236,0.020624648005503454,0.06524341431186764
2006-10,1372240.064963476,0.003340296387506436,0.07170197583362103
2006-11,1373333.7931963925,0.0007970385509372679,0.07430532427387115
2006-12,1364802.6670731658,-0.006211982961091156,0.05702689522423143
2007-01,1353970.9966624854,-0.007936437019066656,0.03661476344545278
2007-02,1350255.2454282867,-0.002744335915139895,0.03928017363228875
2007-03,1297506.292645731,-0.03906591213857813,0.007887127149147188
2007-04,1336745.5898958142,0.030242086279266278,0.025250605165229922
2007-05,1367041.9424605384,0.022664262215434272,0.040754102041705265
2007-06,1395309.2986045757,0.020677753378333774,0.058997478034217066
2007-07,1400424.190917203,0.0036657766974983463,0.04522477007826753
2007-08,1429335.8118722087,0.020644902553468514,0.06664152499389142
2007-09,1421493.6475310747,-0.005486579344053499,0.039353021415204914
2007-10,1422913.2261262343,0.000998652788653187,0.036927329595282554
2007-11,1455475.2849395445,0.022884079095924825,0.05981174580432502
2007-12,1448088.569836815,-0.005075122318574099,0.061024135410181035
2008-01,1450645.160943211,0.001765493602842394,0.07140046907875108
2008-02,1451221.1414669633,0.00039705128398037637,0.074775414782152
2008-03,1464687.9149290177,0.009279614992682372,0.128848409623038
2008-04,1456852.8826422591,-0.0053492844495397485,0.08985052477772237
2008-05,1464344.7006313382,0.0051424670797859395,0.07117759532356738
2008-06,1468839.7914247855,0.003069694445241744,0.05269834644816496
2008-07,1469092.225086114,0.0001718592203194813,0.04903373893015739
2008-08,1452935.4724852275,-0.010997779666242047,0.016510927954786814
2008-09,1440214.8706011001,-0.00875510449364203,0.013170106741272836
2008-10,1438546.5353860909,-0.0011583932710769185,0.01098683248761212
2008-11,1410839.7335744456,-0.019260274958160517,-0.030667337210712575
2008-12,1388926.0422590913,-0.015532374651679781,-0.04085560014080536
2009-01,1381034.0090423718,-0.005682111917120536,-0.04798633999204738
2009-02,1350517.509666555,-0.022096848575783645,-0.06939234064534938
2009-03,1340652.831840795,-0.00730436869951856,-0.08468362565429766
2009-04,1273131.8544526892,-0.050364252239258334,-0.12610815435005318
2009-05,1261117.5037599688,-0.009436847134647541,-0.13878371450639315
2009-06,1237171.2807470553,-0.018988098207755266,-0.15772210967474543
2009-07,1228052.2915064327,-0.007370838122847667,-0.16407406523817947
2009-08,1223352.3526653158,-0.0038271487896915923,-0.15801329389199414
2009-09,1233104.5436759323,0.007971694327778334,-0.1438051579336398
2009-10,1234618.7146655414,0.0012279339958438662,-0.14175962730730662
2009-11,1223270.417439453,-0.009191742431316263,-0.13294870542083093
2009-12,1216579.2511380434,-0.005469899546345358,-0.12408637024382196
2010-01,1235201.302626559,0.015306895519626718,-0.10559675247746803
2010-02,1235303.3499164884,8.261591832225967e-05,-0.085311118830672
2010-03,1225954.1403159674,-0.007568351207946633,-0.08555435740014783
2010-04,1236496.700673591,0.008599473675994673,-0.028775616328323927
2010-05,1237863.384915009,0.0011052874145747182,-0.018439295922567656
2010-06,1237202.3164597116,-0.0005340399137362395,2.5086027407361655e-05
2010-07,1255281.2008502686,0.014612714630449553,0.022172434783240824
2010-08,1273793.2160087225,0.014747305341555883,0.041231672325239055
2010-09,1273803.3317978801,7.941468858962963e-06,0.033005140018885326
2010-10,1265634.43432099,-0.006412997417238886,0.025121698939944093
2010-11,1252027.3326129403,-0.010751210095946706,0.02350822415347964
2010-12,1254070.4852876412,0.001631875456294507,0.030816927145951967
2011-01,1272241.2555346861,0.014489432978623373,0.029986976883334293
2011-02,1263841.1167998654,-0.006602630356685291,0.023101829105625082
2011-03,1275445.4694835132,0.009181812910969978,0.04036964152247191
2011-04,1277695.1228000012,0.0017638177172709657,0.03331866725076327
2011-05,1276642.304267058,-0.0008239982403909218,0.031327301400640106
2011-06,1284738.4422224343,0.006341743437700442,0.03842227348777416
2011-07,1285559.1566576813,0.0006388183059482522,0.02412045666493201
2011-08,1313923.255489402,0.02206362786560856,0.03150435955878472
2011-09,1334396.8297234867,0.015582016794777553,0.04756895857705379
2011-10,1308426.9241803088,-0.019461905907374843,0.03381109797496684
2011-11,1287174.176804005,-0.01624297619037307,0.028071946414871318
2011-12,1286518.1903295731,-0.000509633028888623,0.025873908542301427
2012-01,1308406.5034854794,0.01701360565317711,0.02842640717195888
2012-02,1296284.62808545,-0.009264609559596182,0.025670561634941746
2012-03,1292424.0404561516,-0.0029781944070418342,0.013311875245841653
2012-04,1294809.4141950344,0.00184565874992626,0.013394659719392354
2012-05,1316698.7069565845,0.016905416752131197,0.031376371091292876
2012-06,1323575.8347074245,0.0052230079018880105,0.030229804922631942
2012-07,1338424.8571144615,0.011218867871155558,0.04112272872313816
2012-08,1351335.3260419604,0.009646017001905483,0.02847355840324428
2012-09,1352462.4750107252,0.0008341001282532456,0.013538435407540739
2012-10,1346109.8470101447,-0.004697082631094918,0.028800173806758922
2012-11,1340408.9967880943,-0.004235055730936521,0.04135789929865519
2012-12,1350088.3442395686,0.007221189558312524,0.049412557387712
2013-01,1350888.4066648593,0.0005926000536959908,0.03246842863147803
2013-02,1334185.0660850753,-0.012364707919155227,0.029237743917091885
2013-03,1357493.5984580584,0.017470239298494006,0.050346910893843244
2013-04,1371682.7283400309,0.01045244699355452,0.05937037011179558
2013-05,1385286.5048083577,0.009917582387867219,0.052090730771891636
2013-06,1423281.1478452606,0.02742728158039709,0.07533026104233453
2013-07,1453057.5300795485,0.020920941923081804,0.08564744771120436
2013-08,1449592.4744700913,-0.002384665120084728,0.07271115209866119
2013-09,1468076.9428498633,0.01275149306119916,0.08548441821886499
2013-10,1482426.6268140064,0.009774476762973494,0.10126720349504614
2013-11,1495754.6912264314,0.008990707648761864,0.11589424930045866
2013-12,1495591.7075439123,-0.00010896417940386982,0.1077732164159213
2014-01,1531743.1039496646,0.024171969009590732,0.1338783399076675
2014-02,1555955.7392410845,0.015807242891439532,0.1662218224393377
2014-03,1540723.8837189581,-0.009789388694022683,0.13497690557732733
