,sales,MoM,YoY
,Manhattan,,
,All Upper East Side,,
,All,,
1995-01,312937.2114675092,,
1995-02,327758.375731506,0.04736146332516156,
1995-03,293228.0468547659,-0.10535300219154953,
1995-04,283820.4811555811,-0.03208276220536421,
1995-05,294471.3710854611,0.037526854603708415,
1995-06,296373.4309953793,0.006459235418733389,
1995-07,305702.182200435,0.03147634109348085,
1995-08,304143.2490838706,-0.005099515827277523,
1995-09,301290.4300994212,-0.009379853056224685,
1995-10,310682.4943633153,0.031172793177648872,
1995-11,307314.5617895794,-0.010840432386246324,
1995-12,293295.0938552115,-0.04561927639461194,
1996-01,301489.1276548919,0.027937848165048074,-0.03658268621661154
1996-02,262584.3702365084,-0.12904199140115258,-0.19884771929791056
1996-03,284528.5681668213,0.08357008420016743,-0.029667962465587006
1996-04,294072.6965198164,0.03354365578994978,0.03612218301686054
1996-05,288714.3875251618,-0.018221035336048463,-0.019550231790201877
1996-06,281892.7935248397,-0.023627482020540436,-0.0488594319062472
1996-07,288678.8953725155,0.024073342786884,-0.05568585315743069
1996-08,293923.9292324011,0.0181690935636889,-0.03360035076317425
1996-09,295510.9762550528,0.005399516217670319,-0.019182334608043417
1996-10,294328.0201846274,-0.004003086739507111,-0.05264047532579297
1996-11,298557.9915678572,0.014371623131825606,-0.028493834365446946
1996-12,292570.5660796254,-0.020054480728481816,-0.0024703030864328124
1997-01,311525.6710121254,0.06478814730577231,0.0332899014810315
1997-02,317952.4989643611,0.020630171283654963,0.2108584325791476
1997-03,328714.0236308813,0.03384632830870249,0.15529356418844276
1997-04,327239.640087536,-0.004485307706253772,0.11278484524483767
1997-05,327290.9092466442,0.000156671603398717,0.1336148227740137
1997-06,330804.7188112902,0.01073604388442706,0.17351250691742326
1997-07,326030.8476547995,-0.014431085426003243,0.12938927258289712
1997-08,323701.4874900741,-0.007144600523174116,0.10131042523634881
1997-09,335347.5242130382,0.035977705302701724,0.13480564567457165
1997-10,354450.6292622181,0.056965099396541596,0.20427076239590347
1997-11,354839.7354915506,0.0010977727141927573,0.18851193239924213
1997-12,353790.9688978823,-0.0029556064013389616,0.20925004055806262
1998-01,357784.9257973789,0.011289030107066944,0.14849259335502074
1998-02,366973.8937844145,0.025682937777651293,0.15417835991139084
1998-03,354559.4294483317,-0.033829284715756636,0.07862580833019983
1998-04,367123.585312454,0.035435965935728175,0.12187993243804174
1998-05,368569.4238165737,0.003938288254864419,0.12612178769323013
1998-06,371518.8479431838,0.00800235704868979,0.12307602285177555
1998-07,369288.2302713554,-0.006004049819215318,0.1326788030265058
1998-08,386283.2448077952,0.04602100241307916,0.19333169520773397
1998-09,383242.2899833084,-0.007872344621108085,0.1428212892958285
1998-10,394939.7555171896,0.030522376678186136,0.11423065135826915
1998-11,395638.5000494015,0.001769243340156601,0.11497800408777037
1998-12,400154.0107553981,0.011413223701517428,0.13104642552619228
1999-01,396308.026165946,-0.009611260879759165,0.1076711107454078
1999-02,398272.0774203377,0.0049558704964742795,0.08528722115124054
1999-03,393081.0190618596,-0.013033950037625863,0.10864635492409436
1999-04,396783.5566745988,0.009419273465749667,0.08079015500162323
1999-05,398390.7764229929,0.0040506208519930365,0.08091108670278735
1999-06,405866.6059899282,0.018765066887487025,0.09245226248116811
1999-07,421003.7514140112,0.03729586322373768,0.14004107605773086
1999-08,424646.0234494741,0.00865140042868906,0.09931256185022264
1999-09,424248.0584783854,-0.0009371687219767999,0.10699698224030274
1999-10,425152.9866468724,0.0021330166406245965,0.07650086046697768
1999-11,435475.1960123364,0.024278811838707615,0.10068963449704893
1999-12,440532.2640417541,0.011612757915319794,0.10090678139182274
2000-01,453242.0653602362,0.028851011278659522,0.143661080359877
2000-02,452308.339360846,-0.002060104457974554,0.1356767521602531
2000-03,467178.0160130577,0.032875088425793786,0.18850311604472925
2000-04,484451.7931670047,0.03697472175887695,0.2209472520160467
2000-05,509838.4956044329,0.05240294864318251,0.2797447274811151
